case_id,A_wetted,A_wetted_cell_m2,A_wetted_full_m2,D_h,D_h_m,D_h_over_L,H_fin,H_fin_m,Nu,Nu_cell,Nu_field,Nu_lmtd,OR,P_TDP,P_sink_W,Phi_in,Phi_mid,Phi_out,Pr,Pr_film,Pr_inlet,Q_LPM,Q_full_sink_LPM,Q_in_W,Q_wall_fluid_W,R_TIM_K_W,R_base_K_W,R_spread_K_W,R_th_K_W,Re_active,Re_ch,Re_label,Re_recomputed_ch_Eq1_140mm,Rth_field,T_base_max_K,T_base_mean_K,T_ch_in_K,T_ch_out_K,T_chip_max_C,T_cl_out_K,T_in_K,T_out_bulk_K,T_out_over_T_wall_mean,T_wall_max_K,T_wall_mean_K,Tchip_field,W_pump_W,accepted,cells,clearance_m,converged,dH_W,dT_lmtd_K,dT_wall_bulk_am_K,dT_wall_chbulk_K,dp_field,dp_sink_Pa,energy_balance_pct,fluid,geometry_label,grid,h_W_m2K,h_cell_W_m2K,h_lmtd_W_m2K,iterations,k,k_film,m_in_kg_s,mass_split_closure_pct,partitions,passed_energy,passed_mass_split,passed_validity_envelope,phi_field,res_Ux_initial,res_Uy_initial,res_Uz_initial,res_h_initial,res_p_rgh_initial,residuals_met,run,stationarity_max_var,stationary,t_fin,thermal_data_source,u_in_m_s
C001,1.1161679,0.004770150000000001,1.1161679,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.039950000000000006,0.039950000000000006,2.6165125425096645,2.4210497692110855,2.6165125425096645,nan,0.0,700.0,700.0,0.0,0.0,0.0,67.54263703321114,38.8117675392091,67.54263703321114,0.6501092434627032,0.6501092434627032,3.00000132,2.99816856,0.006,0.05498458142857146,MISSING,0.06098458142857146,2.0,2,2,2,0.06098458142857146,336.639207,328.855586,299.289502,330.529571,67.68920700000002,nan,298.15,330.545203,1.3657451426342073,336.239412,321.869801,67.68920700000002,8.515347573952108e-05,True,51800,0.0,True,2.99618939136,nan,7.522199499999999,6.960264499999994,7.85899999999674,7.85899999999674,0.12706423209173107,FC-40,Plate-Fin,medium,90.30218649324206,83.5562926669642,nan,4000,0.06405049961374999,0.06405049961374999,8.58938229e-05,0.0,calibration,True,True,y,0.0,1.4028875e-05,2.9043693e-07,5.6959389e-05,3.5195527e-07,8.6664463e-07,True,rc=0 wall_s=2312 iterations=4000 end=2026-09-04_09:35:31,2.1527440914842514e-06,True,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.0019317512377850727
C002,1.1161679,0.004770150000000001,1.1161679,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.039950000000000006,0.039950000000000006,5.847864602060519,5.636037844795507,5.847864602060519,nan,0.0,700.0,700.0,0.0,0.0,0.0,67.54263703321114,55.98386038433375,67.54263703321114,1.6252731086567578,1.6252731086567578,3.00000132,2.99881363,0.006,0.029466030000000063,MISSING,0.035466030000000065,5.0,5,5,5,0.035466030000000065,318.776221,314.66282,298.41793,311.253924,49.82622100000005,nan,298.15,311.290648,1.3461356747699833,318.358949,307.911756,49.82622100000005,0.0008680583673336311,True,51800,0.0,True,2.9988681065,nan,3.1914320000000203,3.0758290000000557,32.046000000002095,32.046000000002095,0.03777376671288179,FC-40,Plate-Fin,medium,204.38793361711132,196.9844049535109,nan,4000,0.06486419323999999,0.06486419323999999,0.00021473478,0.0,calibration,True,True,y,0.0,7.5668815e-06,4.2674532e-07,6.0228893e-05,4.8852823e-07,8.1298654e-07,True,rc=0 wall_s=2082 iterations=4000 end=2026-09-04_09:31:41,1.411750086966437e-06,True,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.004829378094462681
C003,1.1161679,0.004770150000000001,1.1161679,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.039950000000000006,0.039950000000000006,7.412512864514305,7.319910659286122,7.412512864514305,nan,0.0,700.0,700.0,0.0,0.0,0.0,67.54263703321114,61.17257480252013,67.54263703321114,3.2505462173135156,3.2505462173135156,3.00000132,2.99881401,0.006,0.020839958571428625,MISSING,0.026839958571428624,10.0,10,10,10,0.026839958571428624,312.737971,310.24314,298.264596,304.697029,43.78797100000004,nan,298.15,304.750466,1.148301547053117,312.31134,303.898025,43.78797100000004,0.003861594730397897,True,51800,0.0,True,2.9988394896,nan,2.4477919999999926,2.417212500000062,71.278999999995,71.278999999995,0.03872766295983041,FC-40,Plate-Fin,medium,260.0774293247475,256.8283633297536,nan,4000,0.06511548509899999,0.06511548509899999,0.000429469559,0.0,calibration,True,True,y,0.0,1.6248462e-06,9.8266956e-08,1.1642697e-05,1.6969667e-07,2.3299895e-07,True,rc=0 wall_s=1146 iterations=4000 end=2026-09-04_09:16:05,7.392381183521786e-06,True,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.009658756188925362
C004,1.1161679,0.004770150000000001,1.1161679,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.039950000000000006,0.039950000000000006,8.120942752268787,8.140972327262547,8.120942752268787,10.593002728392657,0.0,700.0,700.0,0.0,0.0,0.0,67.54263703321114,63.67721541742508,67.54263703321114,6.501092434627031,6.501092434627031,3.00000132,2.99870561,0.006,0.016201058571428624,MISSING,0.022201058571428622,20.0,20,20,20,0.022201058571428622,309.490741,307.912228,298.204034,301.393178,40.54074100000004,nan,298.15,301.458048,0.8590683502569283,309.057735,302.000739,40.54074100000004,0.016194654660819024,True,51800,0.0,True,2.9987286847,1.6882272651501495,2.1967149999999833,2.2021330000000603,149.46400000000722,149.46400000000722,0.042421158001353154,FC-40,Plate-Fin,medium,285.46853822152457,286.1726206992726,372.3667431845955,3115,0.06523773567649999,0.06523773567649999,0.000858938229,0.0,calibration,True,True,y,0.0,8.4491493e-07,3.0224096e-08,9.975103e-06,1.6287293e-07,1.4639053e-07,True,rc=0 wall_s=1335 iterations=3115 end=2026-09-04_09:19:14,2.308625374914614e-06,True,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.019317512377850725
C005,1.1161679,0.004770150000000001,1.1161679,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.039950000000000006,0.039950000000000006,8.798042502816365,8.889669602806483,8.798042502816365,9.45127033921085,0.0,700.0,700.0,0.0,0.0,0.0,67.54263703321114,64.97191317743277,67.54263703321114,13.002184869254062,13.002184869254062,3.00000132,2.99855869,0.006,0.01357875285714288,MISSING,0.019578752857142882,40.0,40,40,40,0.019578752857142882,307.655127,306.52191,298.176131,299.738253,38.70512700000002,nan,298.15,299.806243,0.5836416148713758,307.21832,300.987774,38.70512700000002,0.06642036118609763,True,51800,0.0,True,2.9985727379,1.890237618887735,2.0096525000000156,2.030582000000038,306.5040000000008,306.5040000000008,0.0476193823808039,FC-40,Plate-Fin,medium,309.5707972440221,312.79481831280174,332.5554852618278,2191,0.06530117660524999,0.06530117660524999,0.00171787646,0.0,calibration,True,True,y,0.0,5.2404792e-07,2.0737395e-08,8.4125585e-06,1.0592249e-07,1.3122852e-07,True,rc=0 wall_s=482 iterations=2191 end=2026-09-04_08:26:34,6.6990896568756395e-06,True,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.03863502475570145
C006,1.1161679,0.004770150000000001,1.1161679,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.039950000000000006,0.039950000000000006,9.67313588358817,9.798571308479602,9.67313588358817,10.028547053439903,0.0,700.0,700.0,0.0,0.0,0.0,67.54263703321114,65.60182704636925,67.54263703321114,22.75382352119461,22.75382352119461,3.00000132,2.99843306,0.006,0.012183860000000013,MISSING,0.018183860000000013,70.0,70,70,70,0.018183860000000013,306.678702,305.706804,298.164019,299.035861,37.72870200000001,nan,298.15,299.097141,0.4125410356244017,306.240594,300.445871,37.72870200000001,0.20626985713629398,True,51800,0.0,True,2.998440349,1.78051130433726,1.822300499999983,1.8459310000000073,543.9170000000013,543.9170000000013,0.05203234377243429,FC-40,Plate-Fin,medium,340.5233196210275,344.93902180862665,353.0348559878061,1573,0.06533210426825,0.06533210426825,0.00300628602,0.0,calibration,True,True,y,0.0,4.9240079e-07,2.1701359e-08,8.8716109e-06,9.3172258e-08,1.4046465e-07,True,rc=0 wall_s=268 iterations=1573 end=2026-09-04_09:36:09,2.4318446668185352e-05,True,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.06761129332247755
C007,1.1161679,0.004770150000000001,1.1161679,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.039950000000000006,0.039950000000000006,10.456822452416379,10.592680822469266,10.456822452416379,10.732707620487286,0.0,700.0,700.0,0.0,0.0,0.0,67.54263703321114,65.89725768503541,67.54263703321114,32.505462173135165,32.505462173135165,3.00000132,2.99834911,0.006,0.011449997142857212,MISSING,0.017449997142857214,100.0,100,100,100,0.017449997142857214,306.164998,305.257899,298.159221,298.760322,37.21499800000005,nan,298.15,298.813334,0.32888267923758524,305.726507,300.166932,37.21499800000005,0.42427321095322745,True,51800,0.0,True,2.998351718,1.6632777932198748,1.6852649999999585,1.7071604999999863,783.1420000000071,783.1420000000071,0.05498670913918409,FC-40,Plate-Fin,medium,368.1932383534449,372.97692225501424,377.9073799015056,1400,0.06534662333449999,0.06534662333449999,0.00429469559,0.0,calibration,True,True,y,0.0,2.5516232e-07,1.087389e-08,5.353445e-06,5.502813e-08,7.594133e-08,True,rc=0 wall_s=265 iterations=1400 end=2026-09-04_09:39:56,2.3993672676024914e-05,True,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.09658756188925363
C008,1.1161679,0.004770150000000001,1.1161679,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.039950000000000006,0.039950000000000006,11.582900378421265,11.721112359551341,11.582900378421265,11.804709200681152,0.0,700.0,700.0,0.0,0.0,0.0,67.54263703321114,66.16619249206886,67.54263703321114,48.75819325970274,48.75819325970274,3.00000132,2.99824747,0.006,0.01069816000000003,MISSING,0.01669816000000003,150.0,150,150,150,0.01669816000000003,305.638712,304.791816,298.155619,298.550659,36.688712000000024,nan,298.15,298.592616,0.2537983803592867,305.199924,299.893967,36.688712000000024,0.9630466415324702,True,51800,0.0,True,2.9982422310000003,1.5118760590266795,1.522658999999976,1.5408279999999763,1185.0890000000072,1185.0890000000072,0.05863627420002797,FC-40,Plate-Fin,medium,407.92589787960594,412.79343922574765,415.7375478137233,1201,0.0653598480125,0.0653598480125,0.0064420256,0.0,calibration,True,True,y,0.0,1.6593168e-07,6.7194768e-09,3.6532075e-06,4.997217e-08,4.8084226e-08,True,rc=0 wall_s=239 iterations=1201 end=2026-09-04_09:40:08,3.2734884905035284e-05,True,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.14488134283388046
C009,1.1161679,0.004770150000000001,1.1161679,0.0018558679706601469,0.0018558679706601469,0.015727694666611416,0.039950000000000006,0.039950000000000006,13.375871595272883,13.507635898381047,13.375871595272883,13.553645858476717,0.0,700.0,700.0,0.0,0.0,0.0,67.54263703321114,66.43130279462733,67.54263703321114,81.26365543283791,81.26365543283791,3.00000132,2.99810657,0.006,0.009841771428571471,MISSING,0.01584177142857147,250.0,250,250,250,0.01584177142857147,305.03924,304.258301,298.152948,298.387273,36.08924000000003,nan,298.15,298.416246,0.1831041030377671,304.600139,299.604069,36.08924000000003,2.7078214769282694,True,51800,0.0,True,2.9980766269999997,1.3164618432363329,1.3209459999999922,1.3339584999999943,1999.2859999999928,1999.2859999999928,0.06415640510452543,FC-40,Plate-Fin,medium,471.16466331061036,475.8060568129415,477.4267562345083,1327,0.065372891876,0.065372891876,0.010736739,0.0,calibration,True,True,y,0.0,9.1646222e-09,7.4270363e-10,2.6431183e-07,8.1924072e-08,2.8073133e-09,True,pass2 rc=0 wall_s=147 iterations_this_pass=417 end=2026-09-04_20:04:43,2.0844652808404718e-06,True,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.2414689047231341
C010,1.0058579600000002,0.0042987400000000005,1.0058579600000002,0.0018510906381249154,0.0018510906381249154,0.015687208797668776,0.03595500000000001,0.03595500000000001,1.1408199110324118,0.6050423653487499,1.1408199110324118,0.6715565905750173,0.1,700.0,700.0,0.4100412528083697,0.5230241842341867,0.5035462630925339,67.54263703321114,16.77031722941462,67.54263703321114,0.5866083528115175,0.5866083528115175,3.00000132,2.99208317,0.006,0.09982061857142858,MISSING,0.10582061857142859,1.1799174943832607,2,2,2,0.10582061857142859,368.024433,356.451178,302.172702,361.195533,99.07443300000001,305.57557,298.15,333.490824,0.686914265690999,367.635631,349.598668,99.07443300000001,1.8859458542926706e-05,False,66080,0.0039949999999999986,False,3.08101974457,30.432693527877195,33.778256,17.91455049999996,1.9290000000037253,1.9290000000037253,2.7006129640636245,FC-40,Plate-Fin,medium,38.85317973510601,20.60607422864377,22.87136529050714,4000,0.06304304174,0.06304304174,7.75038628e-05,1.748626025394544e-14,calibration,False,True,n,0.4100412528083697,3.6598468e-05,1.6772462e-06,0.00017203622,1.7529214e-05,2.8071793e-05,False,rc=0 wall_s=1122 iterations=4000 end=2026-09-04_09:58:38,0.00016480100859985074,True,0.00025,chtMultiRegionSimpleFoam unit cell (this campaign),0.0017430630667593671
